,Year,Status,Life expectancy ,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Measles , BMI ,Total expenditure, HIV/AIDS, thinness  1-19 years,Income composition of resources,Immunization Coverage,Schooling
0,2015,Developing,65.0,263.0,62,0.01,71.27962362,1154,19.1,8.16,0.1,17.2,0.479,Low Polio & High Diphtheria,10.1
1,2014,Developing,59.9,271.0,64,0.01,73.52358168,492,18.6,8.18,0.1,17.5,0.47600000000000003,Low Polio & High Diphtheria,10.0
2,2013,Developing,59.9,268.0,66,0.01,73.21924272,430,18.1,8.13,0.1,17.7,0.47,High Polio & High Diphtheria,9.9
3,2012,Developing,59.5,272.0,69,0.01,78.18421529999999,2787,17.6,8.52,0.1,17.9,0.46299999999999997,High Polio & High Diphtheria,9.8
4,2011,Developing,59.2,275.0,71,0.01,7.097108703,3013,17.2,7.87,0.1,18.2,0.45399999999999996,High Polio & High Diphtheria,9.5
5,2010,Developing,58.8,279.0,74,0.01,79.67936736,1989,16.7,9.2,0.1,18.4,0.44799999999999995,High Polio & High Diphtheria,9.2
6,2009,Developing,58.6,281.0,77,0.01,56.76221682,2861,16.2,9.42,0.1,18.6,0.434,High Polio & High Diphtheria,8.9
7,2008,Developing,58.1,287.0,80,0.03,25.87392536,1599,15.7,8.33,0.1,18.8,0.433,High Polio & High Diphtheria,8.7
8,2007,Developing,57.5,295.0,82,0.02,10.91015598,1141,15.2,6.73,0.1,19.0,0.415,High Polio & High Diphtheria,8.4
9,2006,Developing,57.3,295.0,84,0.03,17.17151751,1990,14.7,7.43,0.1,19.2,0.405,Low Polio &  Low Diphtheria,8.1
10,2005,Developing,57.3,291.0,85,0.02,1.388647732,1296,14.2,8.7,0.1,19.3,0.396,Low Polio &  Low Diphtheria,7.9
11,2004,Developing,57.0,293.0,87,0.02,15.29606643,466,13.8,8.79,0.1,19.5,0.381,Low Polio &  Low Diphtheria,6.8
12,2003,Developing,56.7,295.0,87,0.01,11.08905273,798,13.4,8.82,0.1,19.7,0.373,Low Polio &  Low Diphtheria,6.5
13,2002,Developing,56.2,3.0,88,0.01,16.88735091,2486,13.0,7.76,0.1,19.9,0.341,Low Polio &  Low Diphtheria,6.2
14,2001,Developing,55.3,316.0,88,0.01,10.5747282,8762,12.6,7.8,0.1,2.1,0.34,Low Polio &  Low Diphtheria,5.9
15,2000,Developing,54.8,321.0,88,0.01,10.42496,6532,12.2,8.2,0.1,2.3,0.33799999999999997,Low Polio &  Low Diphtheria,5.5
16,2015,Developing,77.8,74.0,0,4.6,364.9752287,0,58.0,6.0,0.1,1.2,0.762,High Polio & High Diphtheria,14.2
17,2014,Developing,77.5,8.0,0,4.51,428.74906680000004,0,57.2,5.88,0.1,1.2,0.7609999999999999,High Polio & High Diphtheria,14.2
18,2013,Developing,77.2,84.0,0,4.76,430.8769785,0,56.5,5.66,0.1,1.3,0.759,High Polio & High Diphtheria,14.2
19,2012,Developing,76.9,86.0,0,5.14,412.4433563,9,55.8,5.59,0.1,1.3,0.752,High Polio & High Diphtheria,14.2
20,2011,Developing,76.6,88.0,0,5.37,437.0621,28,55.1,5.71,0.1,1.4,0.738,High Polio & High Diphtheria,13.3
21,2010,Developing,76.2,91.0,1,5.28,41.82275719,10,54.3,5.34,0.1,1.4,0.725,High Polio & High Diphtheria,12.5
22,2009,Developing,76.1,91.0,1,5.79,348.0559517,0,53.5,5.79,0.1,1.5,0.721,High Polio & High Diphtheria,12.2
23,2008,Developing,75.3,1.0,1,5.61,36.62206845,0,52.6,5.87,0.1,1.6,0.713,High Polio & High Diphtheria,12.0
24,2007,Developing,75.9,9.0,1,5.58,32.24655228,22,51.7,6.1,0.1,1.6,0.703,High Polio & High Diphtheria,11.6
25,2006,Developing,74.2,99.0,1,5.31,3.3021542,68,5.8,5.86,0.1,1.7,0.696,High Polio & High Diphtheria,11.4
26,2005,Developing,73.5,15.0,1,5.16,26.99312143,6,49.9,6.12,0.1,1.8,0.685,High Polio & High Diphtheria,10.8
27,2004,Developing,73.0,17.0,1,4.54,221.8428,7,48.9,6.38,0.1,1.8,0.6809999999999999,High Polio & High Diphtheria,10.9
28,2003,Developing,72.8,18.0,1,4.29,14.71928882,8,47.9,6.27,0.1,1.9,0.674,High Polio & High Diphtheria,10.7
29,2002,Developing,73.3,15.0,1,3.73,104.5169157,16,46.9,6.3,0.1,2.0,0.67,High Polio & High Diphtheria,10.7
30,2001,Developing,73.6,14.0,1,4.25,96.20557078,18,46.0,6.0,0.1,2.1,0.662,High Polio & High Diphtheria,10.6
31,2000,Developing,72.6,11.0,1,3.66,91.71154052,662,45.0,6.26,0.1,2.1,0.6559999999999999,High Polio & High Diphtheria,10.7
